anio_mes,municipio_residencia,grupo_diagnostico,genero_paciente,regimen_atencion,rango_edad,total_casos
2024-01,CARTAGO,Trastornos Del Sueno,MASCULINO,SUBSIDIADO,29-59,1
2024-01,CARTAGO,Trastornos Especificos Del Desarrollo De Las Habilidades Escolares,MASCULINO,SUBSIDIADO,6-11,1
2024-01,CARTAGO,Trastornos Fobicos De Ansiedad,MASCULINO,CONTRIBUTIVO,12-17,1
2024-01,CARTAGO,Trastornos Generalizados Del Desarrollo,FEMENINO,CONTRIBUTIVO,6-11,1
2024-01,CARTAGO,Trastornos Generalizados Del Desarrollo,MASCULINO,CONTRIBUTIVO,6-11,2
2024-01,CARTAGO,Trastornos Hipercineticos,FEMENINO,CONTRIBUTIVO,12-17,1
2024-01,CARTAGO,Trastornos Hipercineticos,MASCULINO,SUBSIDIADO,12-17,1
2024-01,CARTAGO,Trastornos Mentales Y Del Comportamiento Debidos Al Uso De Disolventes Volatiles,FEMENINO,SUBSIDIADO,29-59,1
2024-01,CARTAGO,Trastornos Mentales Y Del Comportamiento Debidos Al Uso De Multiples Drogas Y Al Uso De Otras Sustancias Psicoactivas,FEMENINO,SUBSIDIADO,29-59,1
2024-01,CARTAGO,Trastornos Mixtos De La Conducta Y De Las Emociones,MASCULINO,CONTRIBUTIVO,12-17,1
2024-01,CARTAGO,Trastornos No Organicos Del Sueno,FEMENINO,SUBSIDIADO,29-59,1
2024-01,CIRCASIA,Epilepsia,MASCULINO,OTRO,29-59,1
2024-01,CIRCASIA,Retraso Mental Moderado,MASCULINO,OTRO,29-59,1
2024-01,DOSQUEBRADAS,Demencia En La Enfermedad De Alzheimer,FEMENINO,SUBSIDIADO,60+,1
2024-01,DOSQUEBRADAS,Demencia En La Enfermedad De Alzheimer,MASCULINO,SUBSIDIADO,60+,2
2024-01,DOSQUEBRADAS,Demencia En Otras Enfermedades Clasificadas En Otra Parte,FEMENINO,SUBSIDIADO,60+,1
2024-01,DOSQUEBRADAS,Demencia No Especificada,FEMENINO,CONTRIBUTIVO,60+,1
2024-01,DOSQUEBRADAS,Demencia No Especificada,FEMENINO,SUBSIDIADO,60+,2
2024-01,DOSQUEBRADAS,Demencia No Especificada,MASCULINO,SUBSIDIADO,60+,2
2024-01,DOSQUEBRADAS,Dolor No Clasificadas En Otra Parte,FEMENINO,CONTRIBUTIVO,29-59,2
2024-01,DOSQUEBRADAS,Dolor No Clasificadas En Otra Parte,FEMENINO,SUBSIDIADO,18-28,1
2024-01,DOSQUEBRADAS,Dorsalgia,FEMENINO,CONTRIBUTIVO,60+,1
2024-01,DOSQUEBRADAS,ESQUIZOFRENIA RESIDUAL,MASCULINO,SUBSIDIADO,60+,3
